Designator,Mid X,Mid Y,Rotation,Layer
_8,77.0,-110.5,0.0,top
_7,158.0,-148.0,0.0,top
_6,323.0,-127.5,0.0,top
_5,242.0,-148.0,0.0,top
_4,77.0,-127.5,0.0,top
_3,323.0,-110.5,0.0,top
_2,149.0,-110.5,0.0,top
,251.0,-110.5,0.0,top
C201,119.5,-129.5,270.0,bottom
C202,119.5,-125.5,90.0,bottom
C301,293.5,-129.5,270.0,bottom
C302,293.5,-125.5,90.0,bottom
D201,110.25,-106.5,90.0,bottom
D301,284.25,-106.5,90.0,bottom
F201,107.25,-103.25,90.0,bottom
F301,281.25,-103.25,90.0,bottom
J201,113.0,-96.55,180.0,bottom
J202,163.95,-127.5,270.0,bottom
J301,287.0,-96.55,180.0,bottom
J302,236.05,-127.5,90.0,bottom
K201,70.5,-97.15,0.0,bottom
K202,88.5,-97.15,0.0,bottom
K203,101.5,-106.85,180.0,bottom
K204,119.5,-106.85,180.0,bottom
K205,142.5,-97.15,0.0,bottom
K206,160.5,-97.15,0.0,bottom
K207,70.5,-114.15,0.0,bottom
K208,88.5,-114.15,0.0,bottom
K209,106.5,-114.15,0.0,bottom
K210,124.5,-114.15,0.0,bottom
K211,142.5,-114.15,0.0,bottom
K212,160.5,-114.15,0.0,bottom
K213,65.5,-140.85,180.0,bottom
K214,83.5,-140.85,180.0,bottom
K215,101.5,-140.85,180.0,bottom
K216,119.5,-140.85,180.0,bottom
K217,137.5,-140.85,180.0,bottom
K218,155.5,-140.85,180.0,bottom
K219,144.5,-157.85,180.0,bottom
K220,163.2232070655301,-159.65669464474567,195.0,bottom
K221,180.8408304905389,-166.24775020835452,210.0,bottom
K301,244.5,-97.15,0.0,bottom
K302,262.5,-97.15,0.0,bottom
K303,275.5,-106.85,180.0,bottom
K304,293.5,-106.85,180.0,bottom
K305,316.5,-97.15,0.0,bottom
K306,334.5,-97.15,0.0,bottom
K307,244.5,-114.15,0.0,bottom
K308,262.5,-114.15,0.0,bottom
K309,280.5,-114.15,0.0,bottom
K310,298.5,-114.15,0.0,bottom
K311,316.5,-114.15,0.0,bottom
K312,334.5,-114.15,0.0,bottom
K313,239.5,-140.85,180.0,bottom
K314,257.5,-140.85,180.0,bottom
K315,275.5,-140.85,180.0,bottom
K316,293.5,-140.85,180.0,bottom
K317,311.5,-140.85,180.0,bottom
K318,329.5,-140.85,180.0,bottom
K319,250.5,-157.85,180.0,bottom
K320,231.94716380302455,-160.9507898702583,165.0,bottom
K321,214.8290424905389,-168.74775020835452,150.0,bottom
R201,104.0,-97.25,90.0,bottom
R202,122.0,-97.25,270.0,bottom
R301,278.0,-97.25,90.0,bottom
R302,296.0,-97.25,270.0,bottom
SW201,131.0,-127.5,180.0,bottom
SW202,95.0,-127.5,0.0,bottom
SW301,305.0,-127.5,180.0,bottom
SW302,269.0,-127.5,0.0,bottom
U201,113.0,-110.5,180.0,bottom
U202,113.0,-127.5,0.0,bottom
U203,156.0,-127.5,270.0,bottom
U301,287.0,-110.5,180.0,bottom
U302,287.0,-127.5,0.0,bottom
U303,244.0,-127.5,90.0,bottom
mouse-bite-3mm-slot_8,251.006,-91.5,0.0,top
mouse-bite-3mm-slot_7,77.006,-91.5,0.0,top
mouse-bite-3mm-slot_6,278.006,-146.5,0.0,top
mouse-bite-3mm-slot_5,77.006,-146.5,0.0,top
mouse-bite-3mm-slot_4,149.006,-91.5,0.0,top
mouse-bite-3mm-slot_3,323.006,-91.5,0.0,top
mouse-bite-3mm-slot_2,122.006,-146.5,0.0,top
mouse-bite-3mm-slot,323.006,-146.5,0.0,top
